City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,naron,43.5167,-8.1528,289.62,70,100,2.98,ES,1670423173
1,panguna,-6.3164,155.4848,293.1,96,90,0.79,PG,1670423173
2,ribeira grande,38.5167,-28.7,288.02,82,40,12.35,PT,1670423174
3,hilo,19.7297,-155.09,295.53,92,75,2.57,US,1670423174
4,yumen,40.2833,97.2,264.22,81,100,2.22,CN,1670423174
5,chokurdakh,70.6333,147.9167,253.11,99,100,1.22,RU,1670423174
6,mount isa,-20.7333,139.5,300.02,34,9,0.0,AU,1670423175
7,puerto ayora,-0.7393,-90.3518,296.13,91,72,2.24,EC,1670423175
8,punta arenas,-53.15,-70.9167,282.21,37,40,6.69,CL,1670422887
9,ushuaia,-54.8,-68.3,280.94,49,75,7.72,AR,1670423175
10,butaritari,3.0707,172.7902,299.86,81,85,5.91,KI,1670423176
11,nelson bay,-32.7167,152.15,294.31,65,100,8.49,AU,1670423176
12,arraial do cabo,-22.9661,-42.0278,301.13,78,75,2.57,BR,1670423176
13,klaksvik,62.2266,-6.589,272.66,74,100,13.49,FO,1670423177
14,nanortalik,60.1432,-45.2371,271.58,87,24,3.28,GL,1670423177
15,sinnamary,5.3833,-52.95,301.85,69,14,3.58,GF,1670423177
16,rikitea,-23.1203,-134.9692,297.05,81,23,7.59,PF,1670423178
17,bengkulu,-3.8004,102.2655,297.85,91,100,4.32,ID,1670423178
18,esperance,-33.8667,121.9,288.35,67,0,10.27,AU,1670423178
19,new norfolk,-42.7826,147.0587,283.1,74,94,1.74,AU,1670423179
20,provideniya,64.3833,-173.3,267.34,74,91,6.34,RU,1670423179
21,hearst,49.6835,-83.6665,257.29,93,100,4.31,CA,1670423179
22,kutum,14.2,24.6667,296.2,17,5,4.34,SD,1670423180
23,mecca,21.4267,39.8261,301.33,43,79,3.06,SA,1670422966
24,port alfred,-33.5906,26.891,297.14,79,0,3.13,ZA,1670423180
25,yellowknife,62.456,-114.3525,244.57,76,75,3.6,CA,1670423144
26,omboue,-1.5746,9.2618,300.96,70,95,3.05,GA,1670423180
27,muroto,33.2833,134.15,285.13,49,0,3.29,JP,1670423181
28,lixourion,38.2019,20.4314,290.15,72,40,5.14,GR,1670423181
29,altamira,-3.2033,-52.2064,304.2,66,75,2.06,BR,1670423181
30,polunochnoye,60.8697,60.4153,257.51,83,89,2.14,RU,1670423182
31,umm lajj,25.0213,37.2685,297.97,60,0,6.74,SA,1670423182
32,victoria,22.2855,114.1577,292.77,78,12,2.68,HK,1670422900
33,cape town,-33.9258,18.4232,299.32,50,20,4.63,ZA,1670422940
34,kapaa,22.0752,-159.319,299.33,84,100,7.2,US,1670423183
35,hobart,-42.8794,147.3294,283.29,88,75,3.09,AU,1670423183
36,busselton,-33.65,115.3333,289.03,76,89,4.94,AU,1670423183
37,avarua,-21.2078,-159.775,298.18,88,75,5.14,CK,1670423184
38,cherskiy,68.75,161.3,247.59,99,100,3.39,RU,1670423184
39,rusne,55.2964,21.3758,276.72,82,100,4.53,LT,1670423184
40,machiques,10.0644,-72.545,298.05,57,7,0.92,VE,1670423185
41,saint-philippe,-21.3585,55.7679,298.92,84,36,6.3,RE,1670423185
42,berlevag,70.8578,29.0864,275.15,87,75,5.14,NO,1670423185
43,ilulissat,69.2167,-51.1,275.16,51,75,7.2,GL,1670423186
44,codrington,-38.2667,141.9667,284.33,60,54,9.35,AU,1670423186
45,umm kaddadah,13.6017,26.6876,299.4,14,57,7.44,SD,1670423186
46,sitka,57.0531,-135.33,280.09,76,100,9.77,US,1670423187
47,camocim,-2.9022,-40.8411,305.54,47,10,5.25,BR,1670423187
48,mahebourg,-20.4081,57.7,300.31,78,75,5.66,MU,1670422893
49,cidreira,-30.1811,-50.2056,296.25,70,0,3.54,BR,1670423187
50,oistins,13.0667,-59.5333,302.2,65,40,1.03,BB,1670423188
51,mataura,-46.1927,168.8643,281.07,91,97,1.64,NZ,1670423188
52,carnarvon,-24.8667,113.6333,294.67,70,61,6.61,AU,1670423188
53,asfi,32.2994,-9.2372,292.51,70,100,9.22,MA,1670423188
54,atuona,-9.8,-139.0333,298.49,75,50,8.4,PF,1670423189
55,tuatapere,-46.1333,167.6833,284.29,81,100,1.76,NZ,1670423189
56,bluff,-46.6,168.3333,284.72,80,100,3.62,NZ,1670423189
57,jelgava,56.65,23.7128,270.93,96,100,4.48,LV,1670423190
58,talara,-4.5772,-81.2719,295.57,68,0,8.75,PE,1670423190
59,pointe michel,15.25,-61.3833,302.67,65,20,1.03,DM,1670423190
60,belmonte,-15.8631,-38.8828,300.64,69,71,2.03,BR,1670423190
61,tiksi,71.6872,128.8694,247.27,98,100,2.44,RU,1670423191
62,thompson,55.7435,-97.8558,242.24,76,40,4.12,CA,1670423191
63,hermanus,-34.4187,19.2345,295.82,65,0,6.75,ZA,1670423191
